Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9509300k free), swap 23213284k(9280100k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:31:19.254+0200: 0.279: [GC (Allocation Failure) 2020-09-29T18:31:19.254+0200: 0.279: [ParNew: 545344K->39977K(613440K), 0.0348668 secs] 545344K->39977K(2029056K), 0.0349941 secs] [Times: user=0.22 sys=0.03, real=0.04 secs] 
2020-09-29T18:31:24.006+0200: 5.030: [GC (Allocation Failure) 2020-09-29T18:31:24.006+0200: 5.030: [ParNew: 613440K->58407K(613440K), 0.0238595 secs] 613832K->58800K(2029056K), 0.0239234 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.078+0200: 5.102: [GC (Allocation Failure) 2020-09-29T18:31:24.078+0200: 5.102: [ParNew: 603751K->60336K(613440K), 0.0227589 secs] 604144K->60729K(2029056K), 0.0228230 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.150+0200: 5.175: [GC (Allocation Failure) 2020-09-29T18:31:24.150+0200: 5.175: [ParNew: 605680K->46613K(613440K), 0.0183237 secs] 606073K->47006K(2029056K), 0.0184016 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.220+0200: 5.244: [GC (Allocation Failure) 2020-09-29T18:31:24.220+0200: 5.244: [ParNew: 591957K->42049K(613440K), 0.0165490 secs] 592350K->42442K(2029056K), 0.0166076 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.284+0200: 5.308: [GC (Allocation Failure) 2020-09-29T18:31:24.284+0200: 5.308: [ParNew: 587393K->32415K(613440K), 0.0158083 secs] 587786K->32807K(2029056K), 0.0158639 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.348+0200: 5.372: [GC (Allocation Failure) 2020-09-29T18:31:24.348+0200: 5.372: [ParNew: 577759K->55692K(613440K), 0.0203290 secs] 578151K->56084K(2029056K), 0.0203897 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.417+0200: 5.442: [GC (Allocation Failure) 2020-09-29T18:31:24.417+0200: 5.442: [ParNew: 601036K->63282K(613440K), 0.0245359 secs] 601428K->63674K(2029056K), 0.0246130 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.491+0200: 5.516: [GC (Allocation Failure) 2020-09-29T18:31:24.491+0200: 5.516: [ParNew: 608626K->25166K(613440K), 0.0135721 secs] 609018K->25558K(2029056K), 0.0136281 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:24.559+0200: 5.583: [GC (Allocation Failure) 2020-09-29T18:31:24.559+0200: 5.583: [ParNew: 570510K->44572K(613440K), 0.0176677 secs] 570902K->44964K(2029056K), 0.0177287 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.634+0200: 5.658: [GC (Allocation Failure) 2020-09-29T18:31:24.634+0200: 5.658: [ParNew: 589916K->45503K(613440K), 0.0176187 secs] 590308K->45895K(2029056K), 0.0177009 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.698+0200: 5.723: [GC (Allocation Failure) 2020-09-29T18:31:24.698+0200: 5.723: [ParNew: 590847K->27546K(613440K), 0.0095671 secs] 591239K->27939K(2029056K), 0.0096236 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:24.756+0200: 5.781: [GC (Allocation Failure) 2020-09-29T18:31:24.756+0200: 5.781: [ParNew: 572890K->41808K(613440K), 0.0180287 secs] 573283K->42201K(2029056K), 0.0181085 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.829+0200: 5.854: [GC (Allocation Failure) 2020-09-29T18:31:24.829+0200: 5.854: [ParNew: 587152K->54374K(613440K), 0.0239081 secs] 587545K->54767K(2029056K), 0.0239822 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.900+0200: 5.925: [GC (Allocation Failure) 2020-09-29T18:31:24.900+0200: 5.925: [ParNew: 599718K->46906K(613440K), 0.0170124 secs] 600111K->47299K(2029056K), 0.0170688 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:24.971+0200: 5.995: [GC (Allocation Failure) 2020-09-29T18:31:24.971+0200: 5.995: [ParNew: 592250K->63979K(613440K), 0.0216095 secs] 592643K->64371K(2029056K), 0.0217464 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:25.040+0200: 6.065: [GC (Allocation Failure) 2020-09-29T18:31:25.040+0200: 6.065: [ParNew: 609323K->44748K(613440K), 0.0171393 secs] 609715K->45141K(2029056K), 0.0172142 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:25.108+0200: 6.133: [GC (Allocation Failure) 2020-09-29T18:31:25.108+0200: 6.133: [ParNew: 590092K->64069K(613440K), 0.0216841 secs] 590485K->64462K(2029056K), 0.0217503 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:25.181+0200: 6.205: [GC (Allocation Failure) 2020-09-29T18:31:25.181+0200: 6.205: [ParNew: 609413K->68096K(613440K), 0.0260105 secs] 609806K->68488K(2029056K), 0.0260951 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:25.257+0200: 6.281: [GC (Allocation Failure) 2020-09-29T18:31:25.257+0200: 6.281: [ParNew: 613440K->56733K(613440K), 0.0209287 secs] 613832K->57126K(2029056K), 0.0210234 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:25.325+0200: 6.349: [GC (Allocation Failure) 2020-09-29T18:31:25.325+0200: 6.349: [ParNew: 602077K->40411K(613440K), 0.0115968 secs] 602470K->40803K(2029056K), 0.0116523 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:25.385+0200: 6.410: [GC (Allocation Failure) 2020-09-29T18:31:25.385+0200: 6.410: [ParNew: 585755K->21945K(613440K), 0.0106108 secs] 586147K->22337K(2029056K), 0.0106834 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:25.455+0200: 6.479: [GC (Allocation Failure) 2020-09-29T18:31:25.455+0200: 6.479: [ParNew: 567289K->50747K(613440K), 0.0208279 secs] 567681K->51139K(2029056K), 0.0208949 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:25.525+0200: 6.550: [GC (Allocation Failure) 2020-09-29T18:31:25.525+0200: 6.550: [ParNew: 596091K->33022K(613440K), 0.0150541 secs] 596483K->33415K(2029056K), 0.0151119 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:25.592+0200: 6.616: [GC (Allocation Failure) 2020-09-29T18:31:25.592+0200: 6.616: [ParNew: 578366K->49945K(613440K), 0.0210198 secs] 578759K->50337K(2029056K), 0.0210773 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
