Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9588156k free), swap 23213284k(9184772k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:17:50.310+0200: 2.591: [GC (Allocation Failure) 2020-09-29T18:17:50.310+0200: 2.591: [ParNew: 590813K->36805K(613440K), 0.0201151 secs] 595505K->41496K(2029056K), 0.0202151 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.383+0200: 2.664: [GC (Allocation Failure) 2020-09-29T18:17:50.383+0200: 2.664: [ParNew: 582149K->33473K(613440K), 0.0193452 secs] 586840K->38165K(2029056K), 0.0194540 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.453+0200: 2.734: [GC (Allocation Failure) 2020-09-29T18:17:50.453+0200: 2.734: [ParNew: 578817K->53893K(613440K), 0.0242265 secs] 583509K->58584K(2029056K), 0.0242937 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.529+0200: 2.810: [GC (Allocation Failure) 2020-09-29T18:17:50.529+0200: 2.810: [ParNew: 599237K->64887K(613440K), 0.0257700 secs] 603928K->69578K(2029056K), 0.0258347 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:50.606+0200: 2.887: [GC (Allocation Failure) 2020-09-29T18:17:50.606+0200: 2.887: [ParNew: 610231K->30478K(613440K), 0.0157369 secs] 614922K->35169K(2029056K), 0.0158306 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.678+0200: 2.960: [GC (Allocation Failure) 2020-09-29T18:17:50.679+0200: 2.960: [ParNew: 575822K->23821K(613440K), 0.0152557 secs] 580513K->28512K(2029056K), 0.0153605 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.755+0200: 3.036: [GC (Allocation Failure) 2020-09-29T18:17:50.755+0200: 3.036: [ParNew: 569165K->42588K(613440K), 0.0194162 secs] 573856K->47279K(2029056K), 0.0195106 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.829+0200: 3.110: [GC (Allocation Failure) 2020-09-29T18:17:50.829+0200: 3.110: [ParNew: 587932K->32131K(613440K), 0.0195468 secs] 592623K->36822K(2029056K), 0.0196517 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.905+0200: 3.186: [GC (Allocation Failure) 2020-09-29T18:17:50.905+0200: 3.186: [ParNew: 577475K->56596K(613440K), 0.0252169 secs] 582166K->61287K(2029056K), 0.0252998 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:50.988+0200: 3.269: [GC (Allocation Failure) 2020-09-29T18:17:50.988+0200: 3.269: [ParNew: 601940K->46582K(613440K), 0.0247070 secs] 606631K->51273K(2029056K), 0.0248064 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
